model,mse_pooled,r2_pooled,n_total
PCASR (SelectKBest + PCA + LR),0.1275997051807396,-0.10060543396033483,1325
SR (SelectKBest + LR),0.13681755983722452,-0.18011361863845443,1325
GLM (LinearRegression),809953.7068250504,-6986217.735578425,1325
