,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74
05_Q1_CDD,0.042920993569226636,0.12720908870693998,-0.11079618432460456,-0.06511859487067648,-0.17843244145270423,-0.04108386048020355,-0.015187183997335985,-0.07484052309618212,0.008561689043667635,0.3868946628900004,-0.018094086003887,0.054534395276067765,0.1285381485047434,0.01124612381302536,-0.018780602846661366,-0.22233543814310608,-0.12621905164902583,0.03522917907913983,-0.16163268128010608,0.03477268113222774,0.27982023224597696,0.0830630824790065,0.03796369313166433,0.42735254057692157,-0.17232150470266044,0.37765339488726096,0.15575301478951786,-0.20963350327756974,-0.1521883042288887,-0.2760952888794662,-0.11866221359071717,0.027515798002497528,-0.06478972017190666,0.027914197924350584,0.08881376071236649,0.022780569135205975,-0.07482681506559352,-0.01916270206240951,0.11253130318823949,0.0023107603737823764,-0.008273699649756225,-0.0386279045802721,-0.006791500738928039,-0.0006414491412134411,0.01626460565558034,0.015614515423747982,-0.05419614200013721,0.019071087101232856,-0.011031230909197097,1.0808999485589323e-14,0.0,0.0,0.0,1.1566823310656734e-14,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-8.632632381314382e-15,0.0,0.0,-0.0228439882263106,0.0,-0.0,-0.0,0.0,-9.665554426111866e-15,1.2029084992896283e-14,-0.0
05_Q2_CDD,0.12655947624015468,-0.010782231047783197,0.08847506620016798,0.053007182318093565,0.012799792655824205,-0.1035685019130728,0.11237106184132506,0.12611474493044925,0.3377035848230071,-0.11643720317017123,0.08815535333733593,0.019921900722969947,-0.1093929035652178,-0.07246278509142862,-0.25279254330701495,0.08944960651436526,0.08713443711058787,0.046309351333765195,0.05778468682167616,0.08351882079773425,0.40140412918923996,0.0402084528035363,-0.09373094530853424,-0.07429890894742577,0.34764247088133765,-0.038368127805056815,-0.08127456241441436,0.16533242708344836,-0.3087586271897158,-0.2955065633163533,-0.2439195600714324,-0.013296238854828007,0.08610496985212285,-0.052906112096603876,-0.11288913572154102,-0.08614512946273534,-0.12839997066700065,-0.18891158670877967,-0.04088935250380016,-0.03504718399859526,0.006432387080059929,-0.03537854394794549,0.0003893445977714363,0.030991625025297932,0.017980584086955152,-0.06564464874387786,-0.033290189635750186,-0.03365926256055452,0.014615730856691104,0.03462082549453283,-0.024441147923653952,-0.03749146124153476,-0.04164988732543193,-0.007381722941635803,-0.025530920622892174,-0.019622014990993652,-0.02119971803386686,0.0010610598903659145,0.008226077753923994,0.011301178983214172,0.054453801675455896,0.04586902868404833,-0.01556756454267665,-0.03860102604208081,0.023936030298841334,0.004842317936455613,-1.763806999760531e-10,0.0004488293681719524,0.023893374386529217,0.010155325289293617,0.05542694704866484,-0.019954497090914514,0.012550984960667453,-0.0070883332593690675
06_Q1_CDD,0.05099393426170418,0.008149180896421734,0.17674204788766626,-0.10095404754221171,-0.08180574871276836,0.045639592206127504,0.3403710288509487,0.11111326730209423,-0.04711639611041071,0.13441133387913412,-0.029062082152757084,-0.10142285107117732,0.018794286261077264,-0.03397323999425924,0.0225991304605234,0.1066192124940529,-0.10842666250058204,-0.25246072938678277,-0.11035735632436994,-0.04675556445684225,0.13684725553612515,-0.02650626567523325,0.0233846508825295,-0.07043724492721765,-0.006446793999425507,0.014690042477031345,0.02872393892284737,0.03794850151293751,-0.2059610799097885,0.1416294363654903,-0.17117793810693263,-0.23795613842738786,0.0009457917630424743,-0.07110546985773263,-0.05758363234271754,0.25990932161303065,0.27705985456727333,0.42042921304814995,-0.153865439352147,0.06343589997799859,-0.07121576941219948,0.058448605191486716,-0.1535724412546214,0.07176102624401981,-0.08741192951546113,0.020162242881958514,0.01671382862252487,-0.09315444075403592,-0.05804945545334343,0.10799686651346081,-0.044727787138251984,0.0482242701022922,0.13643977053042308,-0.06538292604387827,-0.028550020518090843,-0.02939131652414022,-0.00607517676505121,-0.00437440890331934,-0.08723390910563543,-0.05073307416716172,-0.002825234965164817,0.02281388006590848,0.02131049728711957,-0.00586690695504196,0.018452004406544754,-0.12267102544643939,6.047869843817111e-11,0.08495449482873918,-0.06462875375605884,-0.02995698942817092,0.07910530012580679,0.004559818369414056,-0.04193041717459997,0.07828518431846124
06_Q2_CDD,0.07786024371310218,-0.23303927604136443,0.07088793656145115,-0.03992723647974021,-0.08250673136427666,-0.01053885161360403,-0.10439406036510475,0.08774878488443905,0.0033052143961758967,0.11754759092488742,0.13231161820812676,-0.09888426157087046,-0.1534958905592585,0.18035987284678956,0.1916911804929391,-0.11704700572618448,-0.169563145489282,0.07154080781799738,-0.07770414230201877,0.025549654509151615,-0.04252460950131631,-0.08184118895987817,0.021051730798435333,0.03314629810803077,0.097519811904058,0.03649959883162336,-0.27838963702033526,-0.2107433572049507,-0.1467358048917265,0.20595021934156055,-0.032748993337838345,-0.08382639341692538,0.17274125215174177,-0.22846842798034883,0.12473843250058453,-0.18063632662784287,-0.23983120647517756,0.00829698902645572,-0.2113680354372619,-0.01741868039887967,0.0914621261535087,0.024290584873847505,0.004678039581921235,0.007504934663953661,-0.0697709995445206,-0.08646551524694508,0.017646703741186043,0.08751582160232556,-0.05489798446160249,0.04741352579512059,0.08073566682773232,0.0800174964823167,0.021695005187434648,0.1656641336733792,0.13803491464691517,-0.02121114941684682,-0.06577180663485445,-0.10951516958543824,-0.08686817763804235,-0.03754501876216587,0.16591004081540764,0.054573858244709145,-3.741013968314443e-05,-0.12929905519552826,0.016088461949294156,-0.07395463127731237,4.2188723001213013e-10,-0.05221292590437272,0.025874036853598594,-0.012031813528645798,-0.19668827313959222,-0.07521841741039602,0.155444939524098,0.16253352834669818
07_Q1_CDD,0.15719581398415852,-0.09094204920067289,0.037009449220713767,0.04776228548663622,0.019297671837674724,-0.2645834133381776,-0.015744834901657945,0.07383337401361934,-0.1374097617624606,0.07889828933466894,-0.09407066072814585,0.034056713626487684,0.04225549603332533,-0.06641855334391489,-0.12869704202413854,0.016407770271695488,0.05866223494131757,0.0822969807497932,0.0666137372021298,0.0024119034186026204,-0.022574300963845696,-0.037109955302786504,0.047940273566515805,-0.019257558814669055,0.05107941183029867,-0.0669918131418702,-0.05499112812293713,0.004885021609361509,0.05530986321511669,-0.1694598289481958,0.03279807324260192,-0.12243857546571955,-0.0884181384534796,0.12721668182635465,0.3327808096994729,-0.13598030482675982,0.04187362469303786,0.17214719566341455,-0.06169243548368809,-0.01180724199782347,0.06097146431071225,0.1520735056553822,0.061619690686320706,-0.018537870687096274,-0.06592934122078231,0.07499272994257539,-0.03829841386172209,-0.03170765332115612,0.0009337603826678493,-0.10058310398492654,-0.3516906074699484,0.21512511240123955,-0.31488599390472694,0.05902851531971358,0.07457615923407801,-0.030983944820061043,0.05810299288634878,-0.18713866669371687,-0.07272700791860903,-0.03440695606735661,0.09318662460317775,0.002082607387834489,0.07330033643014025,0.19243024964907504,-0.16562392141166385,-0.027723346631841693,-2.6854535956077896e-10,-0.11866341983683863,-0.1963311492287006,-0.16164960443690576,0.13029985572866534,-0.0762977422651981,-0.035054487011576284,0.061338444031656135
07_Q2_CDD,0.10434707510488024,0.10420875329992185,0.10141572330707116,-0.20387943133129427,-0.16619643642364126,-0.12424591770569497,-0.15251811994741618,-0.05879054001517503,0.031723611480063495,-0.08394613479241339,0.05642261928454774,-0.0011507042346343352,0.005748209180765296,-0.01156994179921732,-0.07247124047235952,0.007747199125377524,-0.08760514129721061,-0.01742930313189542,0.08290817716258478,-0.003186120658947602,0.008195649700412366,0.033993372199718534,-0.05522320880152031,-0.06240227498759174,0.15105994514744428,0.06833164609072791,-0.07028416350052885,-0.20581091099256837,0.013306388512272116,0.1282297979321623,0.0341036373741729,0.08220786811305586,-0.0544528836709584,0.3013792572835666,-0.08903908608155073,0.013032365304212284,0.02253980975532622,0.0605585040640039,0.008617273478224025,0.015855585827873487,-0.03662044419289901,-0.012985086735424062,-0.11294431392325281,0.040678585909087774,0.044467901615832056,-0.036965950607702955,-0.025963095851330012,0.022239571840029934,0.02384335348336489,-0.0013979417157321404,0.04437510783909064,0.2842535433711623,-0.04675894101808742,-0.40312777344880435,0.11775678716013956,0.05377969696651206,-0.062088600048257565,0.13426796297352658,0.045313103539662516,0.11723349195666842,0.08288681323279216,-0.14569684340026945,-0.0424185512530881,-0.08086811820271293,0.11128776187782226,-0.1914656168324249,1.5069279851731565e-10,-0.08334786937551665,-0.06299859776150216,-0.08688448591275881,-0.030611600269729977,-0.1573250297000097,0.26057136141147264,-0.3011905312588248
08_Q1_CDD,0.19848900505479133,0.013800052595699053,-0.11901665916458587,0.008584370421687262,0.07052806080838825,0.01861305647790422,0.08592560342895675,-0.13756784699090294,0.0762094804590342,0.04566900944068886,-0.02000065636158318,-0.03144455401640894,0.14393748399876605,0.0018445665026253343,-0.06263183682170137,-0.12095584764157924,0.05168012181410392,0.050221505011513144,0.008942708419676731,-0.016745200611420555,-0.08219138461714251,0.015403171250178961,0.09589387073032582,-0.12067204305295862,-0.06491961187360241,-0.04696066358935592,0.05002223714112715,-0.17137397724555728,-0.11032205574837901,0.0097485039956631,0.07246003648834533,-0.2557527406016585,0.06578823155265887,0.032099757800535325,-0.0656460194221794,-0.14741023826031385,0.2595498970177073,-0.2889496053540408,-0.16881277017662027,0.12963306672570316,-0.10157070313529004,-0.04060958345629667,-0.03483026367298971,0.07692735072078284,0.01777808110530719,-0.025254945951420055,0.011181165274689542,0.06099757173005445,-0.07089680425332648,0.13654738186525267,-0.054249507403351424,-0.16641575649174806,-0.06438637212437544,-0.11922842147185726,-0.01583936700107917,-0.11888686251561811,0.075172049308157,-0.055264590097953925,-0.04818720111163813,-0.004328069598072287,0.08829598743709113,-0.23814211370061547,0.034780006862989425,0.2758824266746756,0.13947008734265856,-0.15764339799617796,5.439890760072785e-10,-0.21410012473085904,0.06396885390911938,0.3136765607374484,-0.09080815495798258,0.05238007241623473,0.037871424247816456,0.1096909847865785
08_Q2_CDD,0.13640914198434756,0.028338658677371203,0.031017590900457248,0.09211155346880073,0.03632433809156317,0.3075309079368749,-0.05075359574354857,-0.04406363812310893,-0.08364782734668944,0.056618052692185214,0.15570048086044208,0.03801918791323958,-0.07744342698761472,-0.0776724248590029,-0.06306247841012978,0.03635161923907232,0.12495710987182056,0.04926990071730974,-0.06910409456488863,0.09718213375516643,-0.10668238400091448,0.0805688524890778,-0.03255252036379094,0.10567669191417539,0.0733113049823404,0.05117815054671587,-0.25638447152777105,-0.013971359316149075,-0.07904929376336255,-0.07129439448690361,0.028900065737763228,-0.09060466449951565,0.27876976099482953,0.10627885958942805,-0.09291922420314971,-0.11656723460938676,0.1764085011814775,0.17190754662385305,0.34230344800525303,0.010621072150046585,0.0636885337815681,0.0020093574035309897,-0.02138418979811996,-0.09837833957491804,-0.07075164748986242,0.1766196568515437,0.04866439258425122,0.05443171005520682,0.010583990656658007,0.0385311781591395,0.003868742394614391,-0.030864195226862803,-0.0363077281502123,0.001724562640402058,-0.03474268428066573,-0.1675871273127581,0.09424267266106406,0.07163119997450465,0.06903927773501013,0.09827703810724353,-0.11684064244444337,-0.25836622086462974,0.1037473632206806,-0.14278574217897072,0.08604584822643299,0.12142629172720518,-4.492306526771017e-11,-0.017641502255653557,0.009698750607326709,-0.18955740863051565,0.06611723178146728,-0.1433882010187262,0.05559030028717763,0.23719037590149905
09_Q1_CDD,0.0598174956712744,-0.18035225826874643,-0.14728971392051254,-0.13561621624725773,0.06375370379834214,-0.04506353489447733,0.10792947103123109,-0.205285566026847,-0.02916666106918129,-0.0662493492337422,0.12591896730515423,0.02732268227030102,-0.2016598402748006,0.12001279529380507,0.0150897984878137,-0.036859842818952326,0.043230502049619896,0.15494440576082308,0.014750643400898697,-0.0639338592619827,0.018217810308310517,0.19893909589406256,0.012397224605993493,-0.03377325294030964,0.13936192273342096,-0.013743796746430267,0.027163933067366898,-0.05194068091531678,-0.16316607858017534,-0.05169672402587615,0.1496512925777884,0.23688574342752353,0.18537639750891166,-0.02665520138048623,0.38091257565665954,0.4390305149620935,0.16204412964968967,-0.006973028854385492,-0.00710350848174085,-0.015955434351643892,-0.23197645247978324,-0.08201019139807737,0.07933461473345813,-0.06897203790845594,0.03216735990715747,0.011653393577118996,0.08917750503300276,-0.03388671954101518,0.04966090571042163,-0.028200881256366085,0.022742410860182596,0.022696777426721167,-0.03278786348069771,-0.005852314560535963,0.03203440889244343,-0.05550929329201,-0.07816243990509003,-0.040995973738025535,-0.025104434642821118,0.025866943920435658,-0.026739737158835604,-0.011177247688878261,-0.08613712031084006,0.028784448810500463,0.0753173689984234,-0.04314391865861329,9.7215728522837e-11,0.018342642404441035,0.08216140397117809,-0.03218800696771067,-0.047104980233691016,-0.1270452869456424,-0.19984425882903165,-0.012446687042520221
09_Q2_CDD,-0.12796762327555686,-0.11896311372502667,-0.06873750566291204,-0.1952140637372219,0.0411098251128576,0.015740635932798897,-0.03199086709982141,-0.005520965161150082,0.18542490797433492,0.020441137909638668,0.2504711067023817,-0.018524881733963022,0.021119107043450047,-0.1159770032640134,0.003969516219141725,0.06314702705785791,-0.06347012843207447,-0.008827245872702366,-0.20252876745401405,0.13617652464926705,-0.035357064251308204,-0.12465039284783266,0.046184102428841085,0.07817937293358905,-0.03855485461765837,0.10127793438951396,0.09770237829685496,0.30645213077476585,-0.0656522967870943,0.16713476108776276,-0.09503211704563344,0.3773208724348797,-0.029455389140173364,0.09422209992904626,0.1781790544977518,-0.4108786871329257,0.33355804972855696,0.001882927274597851,-0.1621010583483411,0.08219131233408193,-0.05689185413706281,0.02280064955154304,-0.03713866836720768,0.01357991870974276,-0.0587976683756408,0.11306442086107554,-0.132801183018382,-0.022755734901425115,0.06256635174700764,0.027909657283508513,0.008800505490586889,-0.012734682186892023,0.0017203438676188544,0.0406885956424901,0.05240504544906877,-0.013999016686791235,0.005267381012710504,-0.037434299596380574,0.046037946623191564,0.0683510503560797,-0.0293118396347416,0.0033544636246296902,-0.03450077312184454,0.020809949183628725,0.018841941229756014,-0.026848876577903344,2.4488554933865814e-10,0.03427570096213685,-0.04565080600362399,0.01019259901336607,0.02569772124197381,0.009801644127965137,0.020740076058358318,-0.010885106060165774
