model,crop,n_train,n_test,train_rmse,train_mae,train_r2,test_rmse,test_mae,test_r2,inverse_mean_abs_error,inverse_max_abs_error,inverse_mean_l2_from_mean,inverse_mean_nearest_train_distance,inverse_mean_features_at_bounds
Ridge,RED SPRING WHEAT,870,218,0.18412960212323637,0.14065337789930543,0.538920851690839,0.2096208167676229,0.16632956741334004,0.3661387751248407,0.000501085480638023,0.0007662476842500432,0.23757480041265777,5.25736255558385,1.0
GP,RED SPRING WHEAT,870,218,0.12028516941779531,0.09040544472387918,0.8032329288357551,0.15750451677182514,0.12321428740383995,0.6421414539691095,0.01108051487996379,0.01740405980689963,1.146901869984348,5.130594079267429,1.0
RF,RED SPRING WHEAT,870,218,0.10547269292414917,0.07783435149321584,0.8487106622114228,0.16843482718493452,0.12962122473550214,0.5907495567481829,0.14710510859323409,0.2909201032980575,0.0050121865199431745,5.249220632474122,1.0
