model,scenario,y_target,y_pred,abs_error,objective_value,success,l2_from_reference_mean,nearest_train_distance,n_features_at_bounds
GP,high,1.2589685539179918,1.2415644941110922,0.01740405980689963,0.004426084322950848,True,2.0305622436135042,4.829992450921087,1
GP,low,0.9275394678808738,0.9384396979973648,0.010900230116490994,0.0008999092941164664,True,0.8837953821581153,5.3010997760163,1
GP,median,1.0779440534225548,1.073006798706054,0.00493725471650075,0.0003014186845874578,True,0.5263479841814244,5.260690010864901,1
RF,high,1.2589685539179918,0.9680484506199343,0.2909201032980575,0.08463454802778421,True,0.006443976392626844,5.248875894274258,1
RF,low,0.9275394678808738,0.9673499125627832,0.03981044468190942,0.001584880928602412,True,0.0030696630176788634,5.249511986228139,1
RF,median,1.0779440534225548,0.9673592756228195,0.1105847777997353,0.012229023583663807,True,0.0055229201495238175,5.24927401691997,1
Ridge,high,1.2589685539179918,1.2582023062337417,0.0007662476842500432,0.0001325478939746324,True,0.3632640340867973,5.294752983774166,1
Ridge,low,0.9275394678808738,0.9282410080786301,0.0007015401977562563,0.0001111355036891462,True,0.3326309442010444,5.229529418080329,1
Ridge,median,1.0779440534225548,1.0779795219824626,3.546855990776976e-05,2.8448749557634705e-07,True,0.016829422950131595,5.247805264897055,1
