Year,Municipality,Crop,Mean_Yield,GP_Pred,Residual,Abs_Error
2009,ALEXANDER,ARGENTINE CANOLA,0.495023223328095,0.24358009807164271,0.2514431252564523,0.2514431252564523
2009,ALEXANDER,OATS,1.021807118953453,0.8210680321321208,0.20073908682133224,0.20073908682133224
2009,ALONSA,ALFALFA/GRASS MIX.,0.8752336176994467,0.8679106121819993,0.007323005517447467,0.007323005517447467
2009,ARGYLE,ALFALFA,1.732,1.1025015426995202,0.6294984573004798,0.6294984573004798
2009,ARGYLE,ALFALFA/GRASS MIX.,0.88975,0.9116110557749663,-0.02186105577496622,0.02186105577496622
2009,ARGYLE,ARGENTINE CANOLA,0.9864508075654108,0.17138330097607324,0.8150675065893376,0.8150675065893376
2009,ARGYLE,BARLEY,1.869583192436424,0.7095239227398183,1.1600592696966054,1.1600592696966054
2009,ARGYLE,FLAX,0.529,-0.09891305067021539,0.6279130506702154,0.6279130506702154
2009,ARGYLE,OATS,1.612,0.6793141558381665,0.9326858441618336,0.9326858441618336
2009,ARGYLE,RED SPRING WHEAT,1.4652628452323777,0.47771021331743,0.9875526319149477,0.9875526319149477
2009,BIFROST-RIVERTON,ALFALFA,1.389,1.5246014201286608,-0.13560142012866083,0.13560142012866083
2009,BIFROST-RIVERTON,ALFALFA/GRASS MIX.,0.8924537625861155,1.2350812314230666,-0.34262746883695105,0.34262746883695105
2009,BIFROST-RIVERTON,ARGENTINE CANOLA,0.4251028793058112,0.2969711662644443,0.1281317130413669,0.1281317130413669
2009,BIFROST-RIVERTON,BARLEY,0.4521229219143576,0.8283406533222729,-0.3762177314079153,0.3762177314079153
2009,BIFROST-RIVERTON,FLAX,0.4049999999999999,0.04664868868434113,0.3583513113156588,0.3583513113156588
2009,BIFROST-RIVERTON,RED SPRING WHEAT,0.539249742002064,0.6114629960975714,-0.07221325409550738,0.07221325409550738
2009,BOISSEVAIN-MORTON,ALFALFA,1.455,1.08985388110937,0.36514611889063,0.36514611889063
